output_id,median_diff,distance_ratio,result,amount,product_category
1,1.85,5573.954789081681,True,9868.384789081681,{dining}
2,0.28,3128.702833853309,True,1165.7271661466912,{dining}
3,0.53,2137.2537779264085,True,6431.683777926409,{cash_advance}
4,0.66,3977.2334525319493,True,317.1965474680508,{cash_advance}
5,0.41,6050.840519349003,False,10345.270519349004,{other}
6,0.37,3218.1697830941876,True,7512.599783094188,{gambling}
7,0.49,11282.522876439369,False,15576.952876439369,{gift_cards}
8,3.14,4147.025720748219,True,8441.45572074822,{other}
9,0.52,517.6254019872204,,3776.80459801278,{gift_cards}
10,1.43,575.7091874624721,True,4870.139187462472,{luxury_good}
11,0.3,583.0522215438255,True,3711.377778456175,{electronics}
12,4.5,56.01144555246174,True,4350.441445552462,{gift_cards}
13,1.44,2781.5232319524684,True,1512.906768047532,{gift_cards}
14,0.11,1712.841637645406,False,6007.271637645406,{other}
15,3.27,2663.1857688829996,False,1631.2442311170005,{hostel}
16,0.31,1811.7114061210768,False,2482.7185938789235,{electronics}
17,2.5,4681.989697433315,True,8976.419697433315,{hostel}
18,0.0,764.1256953522088,True,3530.3043046477915,{gambling}
19,0.72,4614.52818573128,True,8908.95818573128,{gambling}
20,0.24,2894.0243450697044,False,1400.4056549302961,{gambling}
21,0.32,0.004328391893977823,False,4294.425671608106,{other}
22,0.88,2114.6484985147167,False,2179.7815014852836,{other}
23,0.21,3933.807131375156,False,360.62286862484405,{other}
24,7.43,1283.8760850170002,True,5578.306085017,{electronics}
25,0.46,3729.0662066030873,False,565.363793396913,{other}
26,0.76,253.3329566159564,,4547.762956615957,{gambling}
27,2.78,609.4530330224861,True,6078.123033022486,{gambling}
28,2.07,4788.15772401647,False,680.5122759835299,{other}
29,0.29,2850.4255144081244,False,2618.2444855918757,{food}
30,0.25,2179.431244631196,True,7648.101244631196,{gambling}
31,1.13,4912.68183125301,False,555.9881687469899,{food}
32,0.01,2413.9934415407297,True,7882.66344154073,{food}
33,287.83,5169.823152226633,True,298.8468477733668,{gambling}
34,0.01,2002.9163244947622,True,7471.586324494762,{gift_cards}
35,0.89,1641.0730980932049,True,7109.743098093205,{electronics}
36,0.74,941.8213754945118,True,6410.491375494512,{luxury_good}
37,1.09,1952.4725805855442,True,7421.142580585544,{gift_cards}
38,1.99,491.73630609038446,False,4976.933693909616,{other}
39,1.45,1623.2627414431927,True,7091.932741443193,{hostel}
40,0.66,3914.704829248609,False,9383.374829248609,{luxury_good}
41,0.86,4092.7952161818203,False,1375.8747838181798,{other}
42,3.5,3785.5784071038706,True,9254.24840710387,{gambling}
